Date,Open,High,Low,Close,Adj Close,Volume
2021-12-27,88.000000,88.000000,85.900002,87.860001,87.860001,730700
2021-12-28,88.250000,88.699997,87.080002,87.349998,87.349998,560300
2021-12-29,87.160004,88.139999,85.970001,87.180000,87.180000,795300
2021-12-30,87.760002,89.290001,87.400002,88.040001,88.040001,837400
2021-12-31,87.500000,88.980003,87.110001,87.160004,87.160004,502800
2022-01-03,88.010002,89.019997,86.739998,88.580002,88.580002,770500
2022-01-04,91.199997,91.360001,85.449997,87.279999,87.279999,1810600
2022-01-05,87.300003,87.830002,83.110001,83.510002,83.510002,1480500
2022-01-06,83.010002,84.480003,81.099998,83.970001,83.970001,1412800
2022-01-07,83.440002,85.989998,83.320000,84.680000,84.680000,1046100
2022-01-10,83.019997,84.389999,80.839996,84.300003,84.300003,1553600
2022-01-11,84.470001,85.080002,83.389999,84.449997,84.449997,896900
2022-01-12,85.139999,86.500000,83.870003,84.120003,84.120003,790100
2022-01-13,85.459999,86.400002,82.629997,82.779999,82.779999,1030500
2022-01-14,82.169998,84.320000,81.050003,83.019997,83.019997,1221200
2022-01-18,81.449997,82.489998,80.410004,81.500000,81.500000,940800
2022-01-19,81.650002,82.739998,80.650002,81.370003,81.370003,975900
2022-01-20,83.190002,85.330002,81.480003,81.489998,81.489998,1618700
2022-01-21,80.440002,80.800003,76.480003,76.820000,76.820000,2299900
2022-01-24,74.900002,77.959999,72.550003,77.930000,77.930000,1549700
2022-01-25,75.430000,77.440002,74.160004,75.940002,75.940002,1217300
2022-01-26,78.779999,79.400002,75.290001,76.370003,76.370003,1432500
2022-01-27,77.559998,78.190002,72.190002,72.220001,72.220001,2613400
2022-01-28,72.099998,73.900002,69.860001,73.419998,73.419998,1395400
2022-01-31,73.839996,78.559998,73.839996,78.379997,78.379997,2347200
2022-02-01,78.320000,78.870003,75.730003,77.699997,77.699997,1275600
2022-02-02,78.370003,78.480003,75.900002,76.370003,76.370003,1173800
2022-02-03,72.230003,74.209999,71.019997,71.279999,71.279999,2220300
2022-02-04,71.269997,71.500000,67.389999,71.000000,71.000000,2863700
2022-02-07,70.889999,71.419998,69.180000,69.739998,69.739998,1287200
2022-02-08,69.800003,70.599998,68.919998,70.389999,70.389999,1263100
2022-02-09,74.000000,74.230003,71.809998,74.169998,74.169998,1976500
2022-02-10,72.000000,73.900002,70.879997,71.220001,71.220001,1365400
2022-02-11,71.339996,71.930000,68.559998,69.309998,69.309998,1092700
2022-02-14,68.860001,70.339996,67.879997,68.230003,68.230003,1051900
2022-02-15,70.099998,72.180000,69.269997,72.099998,72.099998,1058000
2022-02-16,70.949997,72.070000,70.019997,71.669998,71.669998,1007700
2022-02-17,70.820000,71.849998,69.889999,69.949997,69.949997,1097400
2022-02-18,69.970001,70.220001,67.900002,68.570000,68.570000,881300
2022-02-22,67.239998,68.279999,65.529999,65.849998,65.849998,1192300
2022-02-23,66.879997,66.879997,64.720001,64.900002,64.900002,1299500
2022-02-24,62.130001,69.059998,61.240002,69.040001,69.040001,2553900
2022-02-25,69.120003,70.730003,68.080002,70.680000,70.680000,1611100
2022-02-28,71.940002,75.540001,71.849998,75.290001,75.290001,3132200
2022-03-01,75.169998,76.940002,74.599998,75.620003,75.620003,3224500
2022-03-02,65.839996,69.660004,63.009998,69.510002,69.510002,8286900
2022-03-03,68.669998,70.139999,66.889999,67.370003,67.370003,2623400
2022-03-04,66.739998,72.480003,66.449997,71.849998,71.849998,3174400
2022-03-07,73.800003,76.669998,72.110001,75.000000,75.000000,3370700
2022-03-08,75.500000,81.800003,75.500000,79.519997,79.519997,3976800
2022-03-09,78.690002,80.400002,76.080002,78.889999,78.889999,2339700
2022-03-10,77.980003,78.320000,73.839996,76.500000,76.500000,2145100
2022-03-11,76.470001,77.989998,75.070000,75.389999,75.389999,1538800
2022-03-14,74.620003,75.120003,71.349998,71.989998,71.989998,1650200
2022-03-15,71.330002,75.000000,70.519997,74.959999,74.959999,1444400
2022-03-16,75.440002,77.669998,74.000000,77.589996,77.589996,1808500
2022-03-17,76.660004,78.389999,75.970001,78.220001,78.220001,1494300
2022-03-18,77.360001,78.800003,77.169998,77.599998,77.599998,1968400
2022-03-21,77.720001,78.470001,75.949997,77.389999,77.389999,1174400
2022-03-22,77.599998,80.449997,77.489998,79.080002,79.080002,1172600
2022-03-23,79.120003,79.790001,77.610001,77.989998,77.989998,1128300
2022-03-24,78.279999,79.750000,77.940002,79.529999,79.529999,988300
2022-03-25,79.669998,79.830002,77.910004,79.650002,79.650002,1058900
2022-03-28,79.680000,85.790001,79.550003,84.089996,84.089996,4263400
2022-03-29,83.900002,85.230003,81.820000,84.589996,84.589996,1562000
2022-03-30,83.830002,84.419998,81.410004,81.940002,81.940002,1094500
2022-03-31,82.320000,85.279999,81.930000,83.739998,83.739998,2248500
2022-04-01,84.099998,86.309998,82.889999,84.010002,84.010002,1422600
2022-04-04,83.459999,84.779999,82.449997,83.959999,83.959999,1408300
2022-04-05,81.400002,82.919998,79.830002,80.330002,80.330002,2516900
2022-04-06,79.029999,79.989998,77.410004,78.129997,78.129997,1265900
2022-04-07,78.260002,79.900002,77.070000,78.540001,78.540001,942200
2022-04-08,78.379997,79.430000,76.949997,77.610001,77.610001,890300
2022-04-11,76.650002,80.370003,76.250000,78.860001,78.860001,1311100
2022-04-12,79.889999,81.599998,79.050003,79.099998,79.099998,1539300
2022-04-13,78.830002,79.970001,77.760002,79.699997,79.699997,785900
2022-04-14,79.739998,80.639999,78.099998,78.120003,78.120003,835700
2022-04-18,77.849998,79.360001,77.529999,78.660004,78.660004,555900
2022-04-19,78.150002,79.580002,77.709999,78.730003,78.730003,862300
2022-04-20,79.519997,80.080002,76.739998,76.930000,76.930000,901000
2022-04-21,77.989998,79.099998,73.900002,74.430000,74.430000,1685200
2022-04-22,74.430000,75.529999,72.139999,72.370003,72.370003,2845700
2022-04-25,71.070000,72.500000,69.559998,72.449997,72.449997,1275300
2022-04-26,71.870003,73.199997,71.110001,71.440002,71.440002,1211700
2022-04-27,72.430000,74.599998,71.919998,72.139999,72.139999,1067400
2022-04-28,72.709999,73.519997,70.010002,72.260002,72.260002,1570100
2022-04-29,73.070000,74.980003,72.599998,73.029999,73.029999,2522400
2022-05-02,72.769997,74.309998,71.419998,73.639999,73.639999,1392700
2022-05-03,72.849998,76.650002,72.570000,75.110001,75.110001,1056300
2022-05-04,75.660004,78.959999,75.010002,78.699997,78.699997,1403900
2022-05-05,77.379997,77.919998,75.209999,76.410004,76.410004,1070400
2022-05-06,75.279999,75.680000,71.250000,72.139999,72.139999,1398100
2022-05-09,70.169998,71.129997,67.010002,68.250000,68.250000,1472100
2022-05-10,69.980003,70.680000,66.449997,67.580002,67.580002,1189700
2022-05-11,66.959999,67.389999,61.560001,61.720001,61.720001,2230700
2022-05-12,60.470001,62.639999,59.599998,61.400002,61.400002,2070700
2022-05-13,64.849998,66.010002,63.549999,64.250000,64.250000,1629400
2022-05-16,63.740002,64.230003,62.369999,62.770000,62.770000,861000
